English,Chinese,Audio,Level,Source
a.m. (for time),是。,[sound:85a0ae0c49fe92b6.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
across,穿过,[sound:c55704728716728d.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
act,行为,[sound:316c9c3ed45a83ee.mp3],core,Cambridge English A2 Flyers word list (official PDF)
actor,演员,[sound:8e62561c3ac6d3fb.mp3],core,Cambridge English A2 Flyers word list (official PDF)
actually,实际上,[sound:7ddf80803ddb70e6.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
adventure,冒险,[sound:7cb4872d41405353.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
after,后,[sound:632a2406bbcbcd55.mp3],core,Cambridge English A2 Flyers word list (official PDF)
ago,前,[sound:6d0a578ca2f2c0e7.mp3],core,Cambridge English A2 Flyers word list (official PDF)
agree,同意,[sound:6a6334b478289b4f.mp3],core,Cambridge English A2 Flyers word list (official PDF)
air,空气,[sound:3c4588116394d216.mp3],core,Cambridge English A2 Flyers word list (official PDF)
airport,飞机场,[sound:4a776428d7409fc7.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
alone,独自的,[sound:c42bbd90740264d1.mp3],core,Cambridge English A2 Flyers word list (official PDF)
already,已经,[sound:1ebf4e55c604b92c.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
also,还,[sound:07ccfe360dce69b8.mp3],core,Cambridge English A2 Flyers word list (official PDF)
amazing,惊人的,[sound:922c8158165d7c65.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
ambulance,救护车,[sound:e0d0f09d7ff710fc.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
anyone,任何人,[sound:b1f8e4a5ec893d89.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
anything,任何事物,[sound:f0e166dc34d14d6c.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
anywhere,任何地方,[sound:419107f1667df41b.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
appear,出现,[sound:fb67f8d67111c4f8.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
April,四月,[sound:3fcf026bbfffb63f.mp3],core,Cambridge English A2 Flyers word list (official PDF)
arrive,到达,[sound:a2f26a443b13754a.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
art,艺术,[sound:2c5f64ab07ccb3e4.mp3],core,Cambridge English A2 Flyers word list (official PDF)
artist,艺术家,[sound:0441f9e2d94c39a7.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
as,作为,[sound:f970e2767d0cfe75.mp3],core,Cambridge English A2 Flyers word list (official PDF)
as ... as,一样一样,[sound:fd58883f4b3fead2.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
astronaut,宇航员,[sound:901d32488aa7079e.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
at the moment,眼下,[sound:da217c26976d7228.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
August,八月,[sound:41ba70891fb6f393.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
autumn (US fall),秋天,[sound:3a4b5f2f801ada67.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
away,离开,[sound:efb5803993a803fe.mp3],core,Cambridge English A2 Flyers word list (official PDF)
backpack (UK rucksack),背包,[sound:96982677cff68197.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
bandage,绷带,[sound:7e0c8a3fd825a5f9.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
bank,银行,[sound:bd5af1f610a12434.mp3],core,Cambridge English A2 Flyers word list (official PDF)
beetle,甲虫,[sound:3c9447e3247bb6d9.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
before,前,[sound:2f44417567bc123b.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
begin,开始,[sound:8d589afa4dfaeeed.mp3],core,Cambridge English A2 Flyers word list (official PDF)
believe,相信,[sound:2d46f6286511bd2e.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
belt,腰带,[sound:960dc476150dbdbe.mp3],core,Cambridge English A2 Flyers word list (official PDF)
Betty,贝蒂,[sound:7e754adda86a60e0.mp3],core,Cambridge English A2 Flyers word list (official PDF)
bicycle,自行车,[sound:9e8e37aeb4449d57.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
bin,垃圾桶,[sound:c1111bd512b29e82.mp3],core,Cambridge English A2 Flyers word list (official PDF)
biscuit (US cookie),饼干,[sound:2e728dd31fb5949b.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
bit,少量,[sound:f67169dfbf72c4ca.mp3],core,Cambridge English A2 Flyers word list (official PDF)
bored,无聊的,[sound:f5b5c28becf7fdb1.mp3],core,Cambridge English A2 Flyers word list (official PDF)
borrow,借,[sound:485ec278821f55d1.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
bracelet,手镯,[sound:992df610cee45108.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
break,休息,[sound:1cbfb724ceee46cd.mp3],core,Cambridge English A2 Flyers word list (official PDF)
bridge,桥,[sound:98ac6b4b086b5a2f.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
broken,破碎的,[sound:54ddc3c7d064822e.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
brush,刷子,[sound:68f6f171811b2ced.mp3],core,Cambridge English A2 Flyers word list (official PDF)
burn,烧伤,[sound:a985c9764e0e6d73.mp3],core,Cambridge English A2 Flyers word list (official PDF)
business,商业,[sound:f5d7e2532cc9ad16.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
businessman/woman,商人或女人,[sound:8d2d6113c81a7a4e.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
butter,黄油,[sound:d74fdde2944f475a.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
butterfly,蝴蝶,[sound:9fd8301ac24fb88e.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
by myself,我自己,[sound:371946bb61c37e0d.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
by yourself,自己,[sound:bf6d5dd3b1d3126d.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
calendar,日历,[sound:a0e7b2a565119c0a.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
camel,骆驼,[sound:a4995d016a80cf23.mp3],core,Cambridge English A2 Flyers word list (official PDF)
camp,营,[sound:ad82e95a9c7482cf.mp3],core,Cambridge English A2 Flyers word list (official PDF)
card,卡片,[sound:5dd2199ad68327cc.mp3],core,Cambridge English A2 Flyers word list (official PDF)
cartoon,卡通片,[sound:46e25e123679ab1c.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
castle,城堡,[sound:9355a9f9948fa985.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
cave,洞穴,[sound:e386df9ee22e271d.mp3],core,Cambridge English A2 Flyers word list (official PDF)
century,世纪,[sound:151aa0094f11d845.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
cereal,谷物,[sound:42a1751fa85f0a50.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
channel,渠道,[sound:c485d2ed5cc4ce64.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
chat,聊天,[sound:aa8af3ebe14831a7.mp3],core,Cambridge English A2 Flyers word list (official PDF)
cheap,便宜的,[sound:e40b34e3380d6d2b.mp3],core,Cambridge English A2 Flyers word list (official PDF)
chemist('s),化学家,[sound:69982f39092b212a.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
chess,棋,[sound:b016f48d898c745b.mp3],core,Cambridge English A2 Flyers word list (official PDF)
chopsticks,筷子,[sound:1c55726d7354d244.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
club,俱乐部,[sound:95cc6b4ac5abdead.mp3],core,Cambridge English A2 Flyers word list (official PDF)
collect,收集,[sound:0788a6922bd5f9f1.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
college,大学,[sound:b0edd88cd46d6f04.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
comb,梳子,[sound:40a1269384fda0e2.mp3],core,Cambridge English A2 Flyers word list (official PDF)
competition,竞赛,[sound:3190dbf13beaf51d.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
concert,音乐会,[sound:0909553c7a647d10.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
conversation,对话,[sound:b24e9760291913ee.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
cooker,炊具,[sound:1872ecb7cbf5bbf4.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
cookie (UK biscuit),曲奇饼,[sound:2dccd1ab3e03990a.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
corner,角落,[sound:6e27392494718b70.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
costume,戏服,[sound:4f99e8ee797ac772.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
could (for possibility),可以,[sound:f0441366488bd123.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
creature,生物,[sound:8a52e7a8d3b4c955.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
crown,王冠,[sound:408e69f65e4ddaf5.mp3],core,Cambridge English A2 Flyers word list (official PDF)
cushion,软垫,[sound:c136346b280c4957.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
cut,切,[sound:fe47aa7c733c490d.mp3],core,Cambridge English A2 Flyers word list (official PDF)
cycle,循环,[sound:9a4c07402cc2f374.mp3],core,Cambridge English A2 Flyers word list (official PDF)
dark,黑暗的,[sound:a82fd95db10ff25d.mp3],core,Cambridge English A2 Flyers word list (official PDF)
date (as in time),日期,[sound:5fc732311905cb27.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
David,大卫,[sound:464e07afc9e46359.mp3],core,Cambridge English A2 Flyers word list (official PDF)
dear (as in Dear Harry),亲爱的,[sound:ff17bacf4c3020d5.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
December,十二月,[sound:82331503174acbae.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
decide,决定,[sound:681647a719e45584.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
deep,深的,[sound:6627415e807ee33c.mp3],core,Cambridge English A2 Flyers word list (official PDF)
delicious,可口的,[sound:d9f4b96fcf222c8f.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
desert,沙漠,[sound:3fd6b6210e33bb04.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
design,设计,[sound:31c13f47ad87dd7b.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
designer,设计师,[sound:230ace927da4bb74.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
diary,日记,[sound:23eee8e941181188.mp3],core,Cambridge English A2 Flyers word list (official PDF)
dictionary,字典,[sound:abc20d7bde1df257.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
dinosaur,恐龙,[sound:03318769a5ee1354.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
disappear,消失,[sound:eb17b0496bd600be.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
drum,鼓,[sound:ac9bfee113e7ab68.mp3],core,Cambridge English A2 Flyers word list (official PDF)
during,期间,[sound:bc500dd033a84b00.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
each,每个,[sound:933dd8674c563081.mp3],core,Cambridge English A2 Flyers word list (official PDF)
eagle,鹰,[sound:b09315ea09c6d3b5.mp3],core,Cambridge English A2 Flyers word list (official PDF)
early,早期的,[sound:2b3de800b4576343.mp3],core,Cambridge English A2 Flyers word list (official PDF)
Earth,地球,[sound:5cdd21c97f86686c.mp3],core,Cambridge English A2 Flyers word list (official PDF)
east,东方,[sound:320381dbf7cd2f31.mp3],core,Cambridge English A2 Flyers word list (official PDF)
elbow,弯头,[sound:ac2b72088d4f7523.mp3],core,Cambridge English A2 Flyers word list (official PDF)
else,别的,[sound:2954e92a9b4d0e99.mp3],core,Cambridge English A2 Flyers word list (official PDF)
Emma,艾玛,[sound:4535367f2f39b5a2.mp3],core,Cambridge English A2 Flyers word list (official PDF)
empty,空的,[sound:a2e4822a98337283.mp3],core,Cambridge English A2 Flyers word list (official PDF)
end,结尾,[sound:7f021a1415b86f2d.mp3],core,Cambridge English A2 Flyers word list (official PDF)
engine,引擎,[sound:ad1943a9fd6d3d7e.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
engineer,工程师,[sound:9d127ff383d59526.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
enormous,巨大的,[sound:cc2563de8ad57af7.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
enough,足够的,[sound:edc1e3ea2ca4939a.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
enter (a competition),进入,[sound:e2a7106f1cc8bb1e.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
entrance,入口,[sound:2a20afe023299a12.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
envelope,信封,[sound:299a866d8c08b377.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
environment,环境,[sound:e900e40bc91d3f9f.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
ever,曾经,[sound:c8d11180c956e5b5.mp3],core,Cambridge English A2 Flyers word list (official PDF)
everywhere,到处,[sound:cbebc850f5f849e8.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
excellent,出色的,[sound:7a3af604e52e2577.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
excited,兴奋的,[sound:7b849a50da92f39d.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
exit,出口,[sound:f24f62eeb789199b.mp3],core,Cambridge English A2 Flyers word list (official PDF)
expensive,昂贵的,[sound:f384d48efac7ae57.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
explain,解释,[sound:979283b6c70653c5.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
explore,探索,[sound:972c97bdc47dfc8d.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
extinct,灭绝的,[sound:f89f75d0702ca67b.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
factory,工厂,[sound:9549dd6065d01921.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
fall (UK autumn),落下,[sound:96f223040672ea79.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
fall over,摔倒,[sound:9ba66d9ef889844d.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
far,远的,[sound:17d965747c701d6f.mp3],core,Cambridge English A2 Flyers word list (official PDF)
fast,快速地,[sound:31d4541b8e926a24.mp3],core,Cambridge English A2 Flyers word list (official PDF)
February,二月,[sound:659e59f062c75f81.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
feel,感觉,[sound:88698b6a4506539f.mp3],core,Cambridge English A2 Flyers word list (official PDF)
festival,节日,[sound:ae8fc55ccdc61c98.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
fetch,拿来,[sound:5374034a40c8d680.mp3],core,Cambridge English A2 Flyers word list (official PDF)
a few,几个,[sound:d32356ae23a43913.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
file (as in open and close a file),文件,[sound:8c7dd922ad47494f.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
find out,查出,[sound:5ad2c5b490a54c67.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
finger,手指,[sound:e7efda40b1c94805.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
finish,结束,[sound:3248bc7547ce97b2.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
fire,火,[sound:015f28b9df1bdd36.mp3],core,Cambridge English A2 Flyers word list (official PDF)
fire engine (US fire truck),消防车,[sound:64cd2db408bdab31.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
fire fighter,消防员,[sound:9c00d42793a43e8f.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
fire station,消防局,[sound:d00ebc44df334ca3.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
flag,旗帜,[sound:327a6c4304ad5938.mp3],core,Cambridge English A2 Flyers word list (official PDF)
flashlight (UK torch),手电筒,[sound:d051e0c9448d3764.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
flour,面粉,[sound:61f2982918cfbafc.mp3],core,Cambridge English A2 Flyers word list (official PDF)
fog,多雾路段,[sound:3811727de5b0ddf6.mp3],core,Cambridge English A2 Flyers word list (official PDF)
foggy,有雾的,[sound:f666a8be6b2e0c1f.mp3],core,Cambridge English A2 Flyers word list (official PDF)
follow,跟随,[sound:a4010945e4bd924b.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
for prep of time forget,为了准备时间忘记,[sound:e85a7c9992bebcfb.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
fork,叉,[sound:b2fcb4ba898f4797.mp3],core,Cambridge English A2 Flyers word list (official PDF)
Frank,坦率,[sound:f9dc77cece7fa16f.mp3],core,Cambridge English A2 Flyers word list (official PDF)
fridge,冰箱,[sound:2be977f3ff92dd10.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
friendly,友好的,[sound:be68582f77aecadc.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
frightening,令人恐惧的,[sound:8e608ab527b56d43.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
front,正面,[sound:e6ec529ba185279a.mp3],core,Cambridge English A2 Flyers word list (official PDF)
full,满的,[sound:e9dc924f238fa6cc.mp3],core,Cambridge English A2 Flyers word list (official PDF)
fur,毛皮,[sound:40bc2c3326dcc0c9.mp3],core,Cambridge English A2 Flyers word list (official PDF)
furry,毛茸茸的,[sound:f96af09d8bd35393.mp3],core,Cambridge English A2 Flyers word list (official PDF)
future,未来,[sound:da907a1b8f74e692.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
gate,门,[sound:63d721d24d2dde77.mp3],core,Cambridge English A2 Flyers word list (official PDF)
geography,地理,[sound:996dfb007ba9e551.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
George,乔治,[sound:578ad8e10dc4edb5.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
get to,到达,[sound:59ee7a5a0d326ed9.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
glass,玻璃,[sound:2570c919f5ef1d70.mp3],core,Cambridge English A2 Flyers word list (official PDF)
glove,手套,[sound:ea9e801b0d806f23.mp3],core,Cambridge English A2 Flyers word list (official PDF)
glue,胶水,[sound:1ed4de8986cf6e4a.mp3],core,Cambridge English A2 Flyers word list (official PDF)
go away,离开,[sound:158ee90f12f717dc.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
go out,出去,[sound:f0ebc176acb87aaf.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
gold,金子,[sound:e07e81c20cf5935f.mp3],core,Cambridge English A2 Flyers word list (official PDF)
golf,高尔夫球,[sound:c6cf642b8f1cac11.mp3],core,Cambridge English A2 Flyers word list (official PDF)
group,团体,[sound:db0f6f37ebeb6ea0.mp3],core,Cambridge English A2 Flyers word list (official PDF)
guess,猜测,[sound:4142047431f5f974.mp3],core,Cambridge English A2 Flyers word list (official PDF)
gym,健身房,[sound:e4d81f13f96fb9bc.mp3],core,Cambridge English A2 Flyers word list (official PDF)
half,一半,[sound:7afe399f1415b137.mp3],core,Cambridge English A2 Flyers word list (official PDF)
happen,发生,[sound:00abeeeae7a8ed66.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
hard,难的,[sound:d64a84456adc959f.mp3],core,Cambridge English A2 Flyers word list (official PDF)
Harry,哈利,[sound:db05833c29e688b5.mp3],core,Cambridge English A2 Flyers word list (official PDF)
hate,恨,[sound:0e609404e53b251f.mp3],core,Cambridge English A2 Flyers word list (official PDF)
hear,听到,[sound:613d5e4f4cd6c686.mp3],core,Cambridge English A2 Flyers word list (official PDF)
heavy,重的,[sound:7cfe64ea44dc3bbe.mp3],core,Cambridge English A2 Flyers word list (official PDF)
Helen,海伦,[sound:29e00d3659d1c5e7.mp3],core,Cambridge English A2 Flyers word list (official PDF)
high,高的,[sound:8d966b2253a91708.mp3],core,Cambridge English A2 Flyers word list (official PDF)
hill,爬坡道,[sound:debaee4affbeaba9.mp3],core,Cambridge English A2 Flyers word list (official PDF)
history,历史,[sound:3cd15f8f2940aff8.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
hole,洞,[sound:de97e75e5b460452.mp3],core,Cambridge English A2 Flyers word list (official PDF)
Holly,冬青,[sound:c75c2126061533bf.mp3],core,Cambridge English A2 Flyers word list (official PDF)
honey,蜂蜜,[sound:b60eb83bf533eecf.mp3],core,Cambridge English A2 Flyers word list (official PDF)
hope,希望,[sound:8c728e685ddde9f7.mp3],core,Cambridge English A2 Flyers word list (official PDF)
horrible,可怕,[sound:dda10458ea5ff9de.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
hotel,酒店,[sound:e919c49d5f0cd737.mp3],core,Cambridge English A2 Flyers word list (official PDF)
hour,小时,[sound:896c55cc5e46fab3.mp3],core,Cambridge English A2 Flyers word list (official PDF)
how long,多长时间,[sound:849ba522751a8c63.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
hurry,匆忙,[sound:79ac065e81b44be3.mp3],core,Cambridge English A2 Flyers word list (official PDF)
husband,丈夫,[sound:a2d4100de5a4c446.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
if,如果,[sound:39c8942e1038872a.mp3],core,Cambridge English A2 Flyers word list (official PDF)
if you want,如果你想,[sound:c71240a42a7f4f94.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
important,重要的,[sound:48818f3da3d36ad7.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
improve,提升,[sound:33c0478b996aa768.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
in a minute,一分钟后,[sound:43d6cb1b3fee4835.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
information,信息,[sound:bb3ccd5881d65144.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
insect,昆虫,[sound:dce41a93f7edb175.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
instead,反而,[sound:8dee49165153fc68.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
instrument,乐器,[sound:2d083cc4d6c7dfd9.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
interested,感兴趣的,[sound:02641a6848cacbd6.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
interesting,有趣的,[sound:a76637b62ea99acd.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
invent,发明,[sound:1b9dc195c72d59c6.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
invitation,邀请函,[sound:7341db8eb3e39bdb.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
jam,果酱,[sound:5275cb415e5bc394.mp3],core,Cambridge English A2 Flyers word list (official PDF)
January,一月,[sound:86f5978d9b80124f.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
job,工作,[sound:9dddd5ce1b1375bc.mp3],core,Cambridge English A2 Flyers word list (official PDF)
join (a club),加入,[sound:731b886d80d2ea13.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
journalist,记者,[sound:82ad21b5762c06c3.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
journey,旅行,[sound:98dc0157e90a9b28.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
July,七月,[sound:1b539f6f34e8503c.mp3],core,Cambridge English A2 Flyers word list (official PDF)
June,六月,[sound:688937ccaf2a2b0c.mp3],core,Cambridge English A2 Flyers word list (official PDF)
just,只是,[sound:8134b84030cca528.mp3],core,Cambridge English A2 Flyers word list (official PDF)
Katy,凯蒂,[sound:3225d24edf6b0aec.mp3],core,Cambridge English A2 Flyers word list (official PDF)
keep,保持,[sound:18ccf61d533b600b.mp3],core,Cambridge English A2 Flyers word list (official PDF)
key,钥匙,[sound:3c6e0b8a9c15224a.mp3],core,Cambridge English A2 Flyers word list (official PDF)
kilometre (US kilometer),公里,[sound:1921596d8e6f8748.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
kind,种类,[sound:d939aaf7d2291c6f.mp3],core,Cambridge English A2 Flyers word list (official PDF)
king,国王,[sound:b2086154f101464a.mp3],core,Cambridge English A2 Flyers word list (official PDF)
knee,膝盖,[sound:22b84b6e35ace0cd.mp3],core,Cambridge English A2 Flyers word list (official PDF)
knife,刀,[sound:4cbfe67340292113.mp3],core,Cambridge English A2 Flyers word list (official PDF)
land,土地,[sound:87cf962b35146c21.mp3],core,Cambridge English A2 Flyers word list (official PDF)
language,语言,[sound:8512ae7d57b13962.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
large,大的,[sound:afacdb0a401ccdf6.mp3],core,Cambridge English A2 Flyers word list (official PDF)
late,晚的,[sound:f2c67381db28fa11.mp3],core,Cambridge English A2 Flyers word list (official PDF)
later,之后,[sound:c18788c2f274c779.mp3],core,Cambridge English A2 Flyers word list (official PDF)
lazy,懒惰的,[sound:0ffe34b4e04c2b28.mp3],core,Cambridge English A2 Flyers word list (official PDF)
leave,离开,[sound:6c374e70334072ae.mp3],core,Cambridge English A2 Flyers word list (official PDF)
left (as in direction),左边,[sound:811882fecd5c7618.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
let,让,[sound:e1686078d1b60d35.mp3],core,Cambridge English A2 Flyers word list (official PDF)
letter (as in mail),信,[sound:f5b75010ea8a54b9.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
lie (as in lie down),说谎,[sound:2a2f953aacab0ef3.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
lift (ride),举起,[sound:969beeb6d80f0d8d.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
lift,举起,[sound:969beeb6d80f0d8d.mp3],core,Cambridge English A2 Flyers word list (official PDF)
light,光,[sound:2ac43aa43bf473f9.mp3],core,Cambridge English A2 Flyers word list (official PDF)
a little,一点,[sound:225ca0b4604f639c.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
London,伦敦,[sound:59ead8d1e124ccfb.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
look after,照顾,[sound:50d5b9b739ca88d2.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
look like,看起来像,[sound:c8845ad6a3fb9f3a.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
lovely,迷人的,[sound:061fba5bdfc076bb.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
low,低的,[sound:53cced8d281a1a0a.mp3],core,Cambridge English A2 Flyers word list (official PDF)
lucky,幸运的,[sound:339a65e93299ad8d.mp3],core,Cambridge English A2 Flyers word list (official PDF)
