English,Chinese,Audio,Level,Source
magazine,杂志,[sound:4014e2d4452343d7.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
make sure,确保,[sound:c8fa7fbac605c655.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
manager,经理,[sound:1d0258c2440a8d19.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
March,行进,[sound:fa3e5edac607a88d.mp3],core,Cambridge English A2 Flyers word list (official PDF)
married,已婚,[sound:4750ac30159ebf45.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
match (football),匹配,[sound:e3cc92c14a5e6dd1.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
maths (US math),数学,[sound:d939e7a6b17e374c.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
May,可能,[sound:195fbb57ffe74497.mp3],core,Cambridge English A2 Flyers word list (official PDF)
meal,一顿饭,[sound:d9ed7694f0cdbc0c.mp3],core,Cambridge English A2 Flyers word list (official PDF)
mechanic,机械,[sound:bcd8b14bbfc1b0ae.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
medicine,药品,[sound:d9e5d212320e7d96.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
meet,见面,[sound:df421bd994d485f5.mp3],core,Cambridge English A2 Flyers word list (official PDF)
meeting,会议,[sound:d48788168076b999.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
member,成员,[sound:aa08769cdcb26674.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
metal,金属,[sound:86094b61cb9f63b7.mp3],core,Cambridge English A2 Flyers word list (official PDF)
Michael,迈克尔,[sound:3e06fa3927cbdf4e.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
midday,正午,[sound:a1388c34abd4f671.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
middle,中间,[sound:4a548addbfb239bb.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
midnight,午夜,[sound:1506aeeb8c3a699b.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
might,可能,[sound:ad88adbdac50799a.mp3],core,Cambridge English A2 Flyers word list (official PDF)
million,百万,[sound:bafd00e88d3bc205.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
mind,头脑,[sound:ca4152fe6cdd26b7.mp3],core,Cambridge English A2 Flyers word list (official PDF)
minute,分钟,[sound:0a7d55be9d12a369.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
missing,丢失的,[sound:ea21841da70e6405.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
mix,混合,[sound:da386e629171b833.mp3],core,Cambridge English A2 Flyers word list (official PDF)
money,钱,[sound:9726255eec083aa5.mp3],core,Cambridge English A2 Flyers word list (official PDF)
month,月,[sound:7436f942d5ea836c.mp3],core,Cambridge English A2 Flyers word list (official PDF)
motorway,高速公路,[sound:b2092b8d0aada160.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
much,很多,[sound:ef56b0b0ddb93c28.mp3],core,Cambridge English A2 Flyers word list (official PDF)
museum,博物馆,[sound:eb0ea0bc6c91e1e8.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
necklace,项链,[sound:bb7409e82cb01b88.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
nest,巢,[sound:99475e3ed1620ac4.mp3],core,Cambridge English A2 Flyers word list (official PDF)
news,消息,[sound:508c75c8507a2ae5.mp3],core,Cambridge English A2 Flyers word list (official PDF)
newspaper,报纸,[sound:69da234ae73a51cb.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
next,下一个,[sound:d0cab90d8d20d57e.mp3],core,Cambridge English A2 Flyers word list (official PDF)
no problem,没问题,[sound:3d3d9e5241728f93.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
noisy,嘈杂,[sound:5f2bc8db49c998db.mp3],core,Cambridge English A2 Flyers word list (official PDF)
no-one,没有人,[sound:689274002237a482.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
north,北,[sound:8d8d1437907bca79.mp3],core,Cambridge English A2 Flyers word list (official PDF)
November,十一月,[sound:7e823b37564da492.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
nowhere,无处,[sound:03840d46dad93250.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
ocean,海洋,[sound:45d20b1d2cc2d52e.mp3],core,Cambridge English A2 Flyers word list (official PDF)
October,十月,[sound:eca60ae8611369fe.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
octopus,章鱼,[sound:fcf1eed859669962.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
of course,当然,[sound:0ca964bb74251fce.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
office,办公室,[sound:e72f4545eb68c96c.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
Oliver,奥利弗,[sound:27090706d42a2525.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
olives,橄榄,[sound:db79e16594b0f8d2.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
once,一次,[sound:e2eff6c2dafd909d.mp3],core,Cambridge English A2 Flyers word list (official PDF)
online,在线的,[sound:7f46165474d11ee5.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
other,其他,[sound:795f3202b17cb6bc.mp3],core,Cambridge English A2 Flyers word list (official PDF)
oven,烤箱,[sound:2eb6869481471d70.mp3],core,Cambridge English A2 Flyers word list (official PDF)
over,超过,[sound:3b759a9ca8023456.mp3],core,Cambridge English A2 Flyers word list (official PDF)
p.m. (for time),下午,[sound:e66e8a1a8f96a080.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
pajamas (UK pyjamas),睡衣,[sound:fa3f7aa5d0f65346.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
passenger,乘客,[sound:4e85eddf886882ca.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
past,过去的,[sound:68e2d83709f31793.mp3],core,Cambridge English A2 Flyers word list (official PDF)
path,小路,[sound:d6fe1d0be6347b8e.mp3],core,Cambridge English A2 Flyers word list (official PDF)
pepper,胡椒,[sound:b3f952d5d9adea6f.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
perhaps,也许,[sound:48643de4e709ff78.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
photographer,摄影师,[sound:ab5b03817caa01c4.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
piece,片,[sound:5ae347410caf4613.mp3],core,Cambridge English A2 Flyers word list (official PDF)
pilot,飞行员,[sound:a3452f94738cbeef.mp3],core,Cambridge English A2 Flyers word list (official PDF)
pizza,比萨,[sound:7cf2db5ec261a0fa.mp3],core,Cambridge English A2 Flyers word list (official PDF)
planet,行星,[sound:5f295bce38d311f2.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
plastic,塑料,[sound:3f01a108d7ed6079.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
platform,平台,[sound:34a6e5d64ade17ef.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
pleased,高兴,[sound:9be78c2b7882913b.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
pocket,口袋,[sound:9aa91f81de7610b3.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
police officer,警官,[sound:3c11a4ad969604de.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
police station,警察局,[sound:b0ac271cd511270d.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
pond,池塘,[sound:d873154f06723343.mp3],core,Cambridge English A2 Flyers word list (official PDF)
poor,贫穷的,[sound:5cffaf9375c0ef1d.mp3],core,Cambridge English A2 Flyers word list (official PDF)
pop music,流行音乐,[sound:56b810548d5c105c.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
popular,受欢迎的,[sound:5fa3852b08951fcd.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
post,邮政,[sound:42b90196b487c540.mp3],core,Cambridge English A2 Flyers word list (official PDF)
post office,邮局,[sound:6c337334520251d8.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
postcard,明信片,[sound:ae76ff49d7dc8473.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
prefer,更喜欢,[sound:02a048690ba283e3.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
prepare,准备,[sound:0ee63ccea22773b7.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
prize,奖,[sound:4fcdcb5e7b6131e5.mp3],core,Cambridge English A2 Flyers word list (official PDF)
problem,问题,[sound:0861a099e9593791.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
programme (US program),程序,[sound:e82324fc57b0a4ff.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
project,项目,[sound:46f86faa6bbf9ac9.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
pull,拉,[sound:f43dff9a0dc54f06.mp3],core,Cambridge English A2 Flyers word list (official PDF)
push,推,[sound:21a361d96e3e13f5.mp3],core,Cambridge English A2 Flyers word list (official PDF)
puzzle,谜,[sound:2d8aa42a0347c2d6.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
pyjamas (US pajamas),睡衣,[sound:8bed01677b0d8eb3.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
pyramid,金字塔,[sound:437233c74e25fe50.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
quarter,四分之一,[sound:ac9e2504b3cf2cad.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
queen,女王,[sound:72545f3f86fad045.mp3],core,Cambridge English A2 Flyers word list (official PDF)
quite,相当,[sound:1a505b46f54bdd13.mp3],core,Cambridge English A2 Flyers word list (official PDF)
quiz,测验,[sound:da89e38d2085d08a.mp3],core,Cambridge English A2 Flyers word list (official PDF)
race,种族,[sound:2e2a7a2e57d1578b.mp3],core,Cambridge English A2 Flyers word list (official PDF)
racing (car; bike),赛车,[sound:6210325f74de8222.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
railway,铁路,[sound:0edf49df2720a145.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
ready,准备好,[sound:b2fdab230a2c39f3.mp3],core,Cambridge English A2 Flyers word list (official PDF)
remember,记住,[sound:dc3c99bb4e249a95.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
repair,维修,[sound:9ab776b93b3c6bbb.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
repeat,重复,[sound:32cf6da134a8b268.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
restaurant,餐厅,[sound:6d4b62960a6aa2b1.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
rich,富有的,[sound:e7f4f8bd246c2354.mp3],core,Cambridge English A2 Flyers word list (official PDF)
Richard,理查德,[sound:c51c8bbd9e8c8bc4.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
right,正确的,[sound:7c4f29407893c334.mp3],core,Cambridge English A2 Flyers word list (official PDF)
right (as in direction),正确的,[sound:7c4f29407893c334.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
ring,戒指,[sound:1a5df958e0f29d35.mp3],core,Cambridge English A2 Flyers word list (official PDF)
Robert,罗伯特,[sound:4ffe35db90d94c60.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
rock music,摇滚音乐,[sound:275bb66de8c563a5.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
rocket,火箭,[sound:fdfedc01c66e9ea2.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
rucksack (US backpack),背包,[sound:4c70c8de8913a76d.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
salt,盐,[sound:ceb20772e0c9d240.mp3],core,Cambridge English A2 Flyers word list (official PDF)
same,相同的,[sound:51037a4a37730f52.mp3],core,Cambridge English A2 Flyers word list (official PDF)
Sarah,莎拉,[sound:28e5481a80aa2bd1.mp3],core,Cambridge English A2 Flyers word list (official PDF)
save,节省,[sound:43781db5c40ecc39.mp3],core,Cambridge English A2 Flyers word list (official PDF)
science,科学,[sound:fb5c7f9bb4b32ce2.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
scissors,剪刀,[sound:7d89153387e0f3ff.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
score,分数,[sound:ca1cd3c3055991bf.mp3],core,Cambridge English A2 Flyers word list (official PDF)
screen,屏幕,[sound:599eba19aa93a929.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
search,搜索,[sound:06a943c59f33a34b.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
secret,秘密,[sound:5ebe2294ecd0e0f0.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
sell,卖,[sound:8325324b47e1e62a.mp3],core,Cambridge English A2 Flyers word list (official PDF)
September,九月,[sound:cc5d90569e1c8313.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
several,一些,[sound:c902a61794c63ac7.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
shampoo,洗发水,[sound:186764a607df448c.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
shelf,架子,[sound:1f6503307f1eb3ea.mp3],core,Cambridge English A2 Flyers word list (official PDF)
should,应该,[sound:55f195813a158d82.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
silver,银,[sound:97f014516561ef48.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
since,自从,[sound:50324905c471f3d4.mp3],core,Cambridge English A2 Flyers word list (official PDF)
singer,歌手,[sound:05011fc72802a068.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
ski,滑雪,[sound:51d1f7159e9bd983.mp3],core,Cambridge English A2 Flyers word list (official PDF)
skyscraper,摩天大楼,[sound:ff80dfbce0028779.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
sledge,雪橇,[sound:abb647c22e347e6b.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
smell,闻,[sound:d938ad5cbe68bec4.mp3],core,Cambridge English A2 Flyers word list (official PDF)
snack,小吃,[sound:287c683aedfe88bb.mp3],core,Cambridge English A2 Flyers word list (official PDF)
snowball,滚雪球,[sound:3b9787927ecbf1b5.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
snowboard,滑雪板,[sound:73271d08680510a9.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
snowboarding,单板滑雪,[sound:65109486fd7435ca.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
snowman,雪人,[sound:b932a6ec0f3bef99.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
so,所以,[sound:b807023f87e63b8a.mp3],core,Cambridge English A2 Flyers word list (official PDF)
soap,肥皂,[sound:cbf4e0b797105176.mp3],core,Cambridge English A2 Flyers word list (official PDF)
soft,柔软的,[sound:dc58a7971816b41f.mp3],core,Cambridge English A2 Flyers word list (official PDF)
somewhere,某处,[sound:59ea424568c393a3.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
soon,很快,[sound:cd9bd96e12a2897f.mp3],core,Cambridge English A2 Flyers word list (official PDF)
Sophia,索菲亚,[sound:ba15a18cd3a8fb56.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
sore,疮,[sound:a187f64b4907d319.mp3],core,Cambridge English A2 Flyers word list (official PDF)
sound,声音,[sound:0b8263d341de01f7.mp3],core,Cambridge English A2 Flyers word list (official PDF)
south,南,[sound:50fd76e33fe5b961.mp3],core,Cambridge English A2 Flyers word list (official PDF)
space,空间,[sound:ff2364a0be3d20e4.mp3],core,Cambridge English A2 Flyers word list (official PDF)
spaceship,飞船,[sound:07f8318f740f73cb.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
speak,说话,[sound:69378f8c051ff8c5.mp3],core,Cambridge English A2 Flyers word list (official PDF)
special,特别的,[sound:0bd6506986ec42e7.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
spend,花费,[sound:d998ff3a339f9318.mp3],core,Cambridge English A2 Flyers word list (official PDF)
spoon,勺子,[sound:4b8e23084e0f4d55.mp3],core,Cambridge English A2 Flyers word list (official PDF)
spot,点,[sound:b2e189abf85e809a.mp3],core,Cambridge English A2 Flyers word list (official PDF)
spotted,斑,[sound:5177d121d52eb809.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
spring,春天,[sound:2a2d595e6ed9a0b2.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
stadium,体育场,[sound:1424ca49c88f7234.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
stage (theatre),阶段,[sound:9a8c2b9d518bc163.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
stamp,邮票,[sound:96b8c78de832e9d7.mp3],core,Cambridge English A2 Flyers word list (official PDF)
stay,停留,[sound:99be1ee67a013709.mp3],core,Cambridge English A2 Flyers word list (official PDF)
step,步,[sound:2764ca9d34e90313.mp3],core,Cambridge English A2 Flyers word list (official PDF)
still,仍然,[sound:df55340f75b5da45.mp3],core,Cambridge English A2 Flyers word list (official PDF)
stone,石头,[sound:0a840ef45467fb39.mp3],core,Cambridge English A2 Flyers word list (official PDF)
storm,风暴,[sound:849c829d658baaef.mp3],core,Cambridge English A2 Flyers word list (official PDF)
straight on,直接,[sound:ec35753d7eb596b1.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
strange,奇怪的,[sound:73a6fcb016535503.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
strawberry,草莓,[sound:495bf9840649ee1e.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
stream,溪流,[sound:f7b44cfafd5c5222.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
stripe,条纹,[sound:8a98c86b49d93794.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
striped,有条纹的,[sound:615226bc5d8900fd.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
student,学生,[sound:cd73502828457d15.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
study,学习,[sound:2cd1c6ecec2c6d90.mp3],core,Cambridge English A2 Flyers word list (official PDF)
subject,主题,[sound:b5e3374e43f65448.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
such,这样的,[sound:6f129a2e6e103ea3.mp3],core,Cambridge English A2 Flyers word list (official PDF)
suddenly,突然,[sound:42ac3f9444573b89.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
sugar,糖,[sound:ada15bd1a5ddf0b7.mp3],core,Cambridge English A2 Flyers word list (official PDF)
suitcase,手提箱,[sound:15b7493d0730c0e7.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
summer,夏天,[sound:6b1628b016dff46e.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
sunglasses,太阳镜,[sound:2cc465e3eef5bff0.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
sure,当然,[sound:d5e1f5a7f2fe3dab.mp3],core,Cambridge English A2 Flyers word list (official PDF)
surname,姓,[sound:e8911889a7780cda.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
surprise,惊喜,[sound:b467e81969c71b4c.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
swan,天鹅,[sound:fb52a20dbf0f8d7b.mp3],core,Cambridge English A2 Flyers word list (official PDF)
swing,摇摆,[sound:ce04e521db2557ac.mp3],core,Cambridge English A2 Flyers word list (official PDF)
take (as in time e.g. it takes 20 minutes),拿,[sound:600d6af0f320a021.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
taste,品尝,[sound:cad1c068cb62b068.mp3],core,Cambridge English A2 Flyers word list (official PDF)
taxi,出租车,[sound:35e768d3043c55b5.mp3],core,Cambridge English A2 Flyers word list (official PDF)
team,团队,[sound:f894427cc1c571f7.mp3],core,Cambridge English A2 Flyers word list (official PDF)
telephone,电话,[sound:b9bb7e7b00a4ba1e.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
tent,帐篷,[sound:7b65dcf020279efe.mp3],core,Cambridge English A2 Flyers word list (official PDF)
thank,感谢,[sound:f5ab96926a6a561a.mp3],core,Cambridge English A2 Flyers word list (official PDF)
theatre (US theater),剧院,[sound:a0ff692db630abb3.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
thousand,千,[sound:41b1df40c9b9692c.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
through,通过,[sound:ca23ba209cc33678.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
tidy,整齐的,[sound:3513bf8fe595c018.mp3],core,Cambridge English A2 Flyers word list (official PDF)
time,时间,[sound:07cc694b9b3fc636.mp3],core,Cambridge English A2 Flyers word list (official PDF)
timetable,时间表,[sound:0cff3ba35674014e.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
toe,脚趾,[sound:38e60015f4763be1.mp3],core,Cambridge English A2 Flyers word list (official PDF)
together,一起,[sound:db3f3946ba271882.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
tomorrow,明天,[sound:c23946c050885b2d.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
tonight,今晚,[sound:5f056dbdb4e73cbe.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
torch (US flashlight),火炬,[sound:69756f3cd326cb18.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
tortoise,龟,[sound:c60346dca558858a.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
touch,触碰,[sound:b96ba508e3690f51.mp3],core,Cambridge English A2 Flyers word list (official PDF)
tour,旅游,[sound:f0a4025b3b49b3e2.mp3],core,Cambridge English A2 Flyers word list (official PDF)
traffic,交通,[sound:7c116ff7719dad10.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
trainers,培训师,[sound:7a9f8a960ea3190b.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
tune,调,[sound:7ce1689483acd43d.mp3],core,Cambridge English A2 Flyers word list (official PDF)
turn,转动,[sound:a850c17cba5eb16b.mp3],core,Cambridge English A2 Flyers word list (official PDF)
turn off,关,[sound:546fa8c1eeaa45d4.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
turn on,打开,[sound:b197375d9ebab835.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
twice,两次,[sound:acab8a08d87398bb.mp3],core,Cambridge English A2 Flyers word list (official PDF)
tyre (US tire),胎,[sound:8cf1a2922e963f27.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
umbrella,伞,[sound:b74012a0fbca4af4.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
unfriendly,不友好的,[sound:1c1d719d29db0c39.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
unhappy,不高兴,[sound:881bea88a78db4d6.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
uniform,制服,[sound:a489ffed938ef1b9.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
university,大学,[sound:10238d6114894bb5.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
unkind,不友善的,[sound:5afeea0e7aa909d3.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
untidy,不整洁,[sound:5e07577a40fd4774.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
until,直到,[sound:3103a7d8f63cb184.mp3],core,Cambridge English A2 Flyers word list (official PDF)
unusual,异常,[sound:6bd0973b83901130.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
use,使用,[sound:5ef76d30bf923290.mp3],core,Cambridge English A2 Flyers word list (official PDF)
usually,通常,[sound:4a1dbf51be367295.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
view,看法,[sound:1bda80f2be4d3658.mp3],core,Cambridge English A2 Flyers word list (official PDF)
violin,小提琴,[sound:baed9eee805dceb1.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
visit,访问,[sound:9de70f6546b2452f.mp3],core,Cambridge English A2 Flyers word list (official PDF)
volleyball,排球,[sound:91111fb1f8b08843.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
waiter,服务员,[sound:f64cff138020a206.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
warm,温暖的,[sound:a957a3153eb7126b.mp3],core,Cambridge English A2 Flyers word list (official PDF)
way,方式,[sound:c83b72dd001482ce.mp3],core,Cambridge English A2 Flyers word list (official PDF)
west,西方,[sound:da4f0053a5c13882.mp3],core,Cambridge English A2 Flyers word list (official PDF)
wheel,车轮,[sound:5eda0ea98768e91b.mp3],core,Cambridge English A2 Flyers word list (official PDF)
while,尽管,[sound:901889f4f34f8ca1.mp3],core,Cambridge English A2 Flyers word list (official PDF)
whisper,耳语,[sound:24412aa365632abd.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
whistle,哨,[sound:1c6819d0309c7f04.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
wife,妻子,[sound:bb4694a26a39df75.mp3],core,Cambridge English A2 Flyers word list (official PDF)
wifi,无线上网,[sound:5f27dde10bfa8ada.mp3],core,Cambridge English A2 Flyers word list (official PDF)
wild,荒野,[sound:48fa4c38043122c0.mp3],core,Cambridge English A2 Flyers word list (official PDF)
will,将要,[sound:18218139eec55d83.mp3],core,Cambridge English A2 Flyers word list (official PDF)
William,威廉,[sound:604c8dd5066ee305.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
win,赢,[sound:0b08bd98d279b888.mp3],core,Cambridge English A2 Flyers word list (official PDF)
wing,翼,[sound:3328e4f7fbcce951.mp3],core,Cambridge English A2 Flyers word list (official PDF)
winner,优胜者,[sound:978f6f608df5279d.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
winter,冬天,[sound:f6432274349b5cb9.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
wish,希望,[sound:27e76ef6b60400df.mp3],core,Cambridge English A2 Flyers word list (official PDF)
without,没有,[sound:fc0cb42fe6c10693.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
wonderful,精彩的,[sound:9f608aaed334be3b.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
wood,木头,[sound:22811dd94d65037e.mp3],core,Cambridge English A2 Flyers word list (official PDF)
wool,羊毛,[sound:27a18ca062a4121b.mp3],core,Cambridge English A2 Flyers word list (official PDF)
worried,担心,[sound:00285b01ad3ee329.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
yoghurt,酸奶,[sound:19befa1599979552.mp3],extended,Cambridge English A2 Flyers word list (official PDF)
you’re welcome,不客气,[sound:d7c52838b3f2af00.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
x-ray,X射线,[sound:369d3da536d00ff2.mp3],tricky,Cambridge English A2 Flyers word list (official PDF)
yet,然而,[sound:b8284650440a8e32.mp3],core,Cambridge English A2 Flyers word list (official PDF)
zero,零,[sound:d02c4c4cde7ae762.mp3],core,Cambridge English A2 Flyers word list (official PDF)
