English,Chinese,Audio_UK,Audio_US,Example_EN,Example_ZH,Level,Topic,Source
monster,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
month,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
morning,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
mother,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
motorway,,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
mouth,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
mum,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
museum,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
music,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
name,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
net,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
new,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
next,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
night,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
no,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
not,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
November,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
now,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
October,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
octopus,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
of,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
off,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
oh,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
old,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Oliver,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
one,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
onion,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
open,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
or,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
orange,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
out,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
p.m. (for time),,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
page,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
paint,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
panda,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
paper,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
park,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
parrot,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
part,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
party,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
pea,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
pear,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
pen,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
pencil,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
penguin,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
pepper,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
pet,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
phone,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
pie,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
pink,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
pizza,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
plane,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
play,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
playground,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
police station,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
post office,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
potato,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
pretty,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
programme (US program),,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
puppy,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
put,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
quarter,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
question,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
rabbit,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
railway,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
rain,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
read,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
red,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
restaurant,,,,,,易错（tricky）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
rice,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
Richard,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
ride,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
right,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
river,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
road,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
Robert,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
room,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
rug,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
run,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
sad,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
salt,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
sandwich,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
Sarah,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Saturday,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
sausage,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
say,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
school,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
scissors,,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
sea,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
see,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
September,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
shark,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
she,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
shoe,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
shop,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
short,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
show,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
sing,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
sister,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
sit,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
ski,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
sky,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
skyscraper,,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
sleep,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
small,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
smile,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
snake,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
snow,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
so,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
son,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Sophia,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
soup,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
spaceship,,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
spell,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
spider,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
sports centre (US center),,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
star,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
story,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
straight on,,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
strawberry,,,,,,易错（tricky）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
street,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
study,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
subject,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
sugar,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
suitcase,,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
sun,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Sunday,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
sunglasses,,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
supermarket,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
swan,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
swim,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
table,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
tail,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
talk,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
tall,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
tea,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
teacher,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
telephone,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
television/TV,,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
tell,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
the,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
theatre (US theater),,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
thing,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
think,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
through,,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
throw,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
Thursday,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
tiger,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
time,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
timetable,,,,,,易错（tricky）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
tired,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
to,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
today,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
toe,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
tomorrow,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
too,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
top,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
tortoise,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
town,,,,,,核心（core）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
toy,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
train,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
tree,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
trousers,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
try,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Tuesday,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
turn off,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
turn on,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
ugly,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
umbrella,,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
uniform,,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
university,,,,,,易错（tricky）,places,Cambridge combined alphabetic vocabulary list (2025 PDF)
up,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
us,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
use,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
walk,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
wall,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
watch,,,,,,核心（core）,actions,Cambridge combined alphabetic vocabulary list (2025 PDF)
water,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
watermelon,,,,,,核心（core）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
way,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
we,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Wednesday,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
week,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
wet,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
whale,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
white,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
who,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
why,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
William,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
win,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
window,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
woman/women,,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
wonderful,,,,,,易错（tricky）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
word,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
wow,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
write,,,,,,核心（core）,school,Cambridge combined alphabetic vocabulary list (2025 PDF)
year,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
yellow,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
yes,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
yesterday,,,,,,核心（core）,time,Cambridge combined alphabetic vocabulary list (2025 PDF)
yet,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
yoghurt,,,,,,易错（tricky）,food,Cambridge combined alphabetic vocabulary list (2025 PDF)
you,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
young,,,,,,扩展（extended）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
zebra,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
zero,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
zoo,,,,,,核心（core）,animals,Cambridge combined alphabetic vocabulary list (2025 PDF)
21st,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
22nd,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
23rd,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
24th,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
25th,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
26th,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
27th,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
28th,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
29th,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
30th,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
31st,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
Betty,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
a hundred,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
a million,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
a thousand,,,,,,必写（must_write）,general,Cambridge combined alphabetic vocabulary list (2025 PDF)
